Wave,Avoiding contact with other people_somewhat likely + very likely,Avoiding public or crowded places_somewhat likely + very likely,Frequently washing hands_somewhat likely + very likely,Wearing a face mask when outside of your home_somewhat likely + very likely,Been in a room with at least 5 people outside of household in the past 24 hours,Been in a room with at least 11 people outside of household in the past 24 hours,Start_Date,End_Date
1,94.1338936516541,94.93361052613845,95.9486582955434,74.62925597254102,7.409631410620586,2.246293142942157,2020-04-16T22:30:32Z,2020-04-30T19:23:44Z
2,92.05012323230969,93.17386164106817,95.42358844445539,81.29752472126594,9.128532141706591,2.5560359403294775,2020-05-01T22:25:41Z,2020-05-21T21:26:07Z
3,89.34829122997714,91.26001874138089,94.7978994644923,82.91951211766775,12.261079509295376,3.6849743969075504,2020-05-16T09:04:50Z,2020-06-01T10:02:23Z
5,85.83043972941056,87.39745620271194,93.70944127850608,84.01344026915284,16.45898712617208,5.790215076158289,2020-06-12T21:05:00Z,2020-06-28T21:14:58Z
7,86.88035901415559,88.74727557237925,93.89805673671331,90.52883266849916,15.18215098081209,5.137476932116307,2020-07-10T20:58:13Z,2020-07-26T21:35:30Z
9,85.96924954948118,87.71219912064792,94.25303092500457,91.68162770700461,16.160710023493515,5.89968895224902,2020-08-07T17:47:38Z,2020-08-26T06:21:08Z
10,84.40104646097487,86.77919915314504,93.89198417448574,91.44316849142335,17.65847716579492,6.373626456679696,2020-09-04T11:42:27Z,2020-09-30T19:14:11Z
11,84.30961538592526,85.83524679803307,93.634152312799,91.16741946043395,17.632974087208947,6.544265215648154,2020-10-02T14:19:39Z,2020-10-23T14:39:03Z
12,84.0831982315634,85.83626772327703,92.1412942399407,91.07203098541585,17.135119011409593,6.524903291002324,2020-10-23T12:39:08Z,2020-11-14T13:31:37Z
13,84.9987564531001,86.7452787801702,92.64278855390768,92.3674045678565,15.54390763576587,5.311127598166036,2020-11-03T13:12:09Z,2020-11-30T22:54:03Z
14,86.95160288376475,87.53240768375021,93.25607931237349,93.8071522539645,13.891413988781931,4.908128319429254,2020-12-16T16:43:28Z,2021-01-12T09:31:20Z
16,85.39090843011022,86.23091474021375,92.12622579505634,93.21333946994808,15.555983929742556,6.222806570442606,2021-02-05T11:00:55Z,2021-02-28T23:46:11Z
17,79.81508122029481,80.69778218177431,91.87167849029704,90.73084210948194,19.500021764838465,7.935619324246441,2021-04-01T18:00:33Z,2021-05-03T06:20:28Z
18,67.11306583425996,69.68250675343842,89.92545504480589,70.50208794885066,23.77588132893967,10.115142920234693,2021-06-09T14:24:43Z,2021-07-15T14:32:52Z
19,74.43455236988328,76.34368251571811,90.25551718453076,78.80135751345864,23.287351717025004,10.506724453176263,2021-08-26T13:48:30Z,2021-09-28T15:35:01Z
20,67.89021645990894,70.02649778122729,89.70669711303393,72.28867363714244,26.495555540579414,12.292702356228723,2021-11-03T07:03:27Z,2021-12-02T21:49:38Z
21,72.52430763758485,74.54004096535445,89.87957736647722,77.3403884093954,22.51000677829591,9.670741893188586,2021-12-22T16:56:17Z,2022-01-25T01:41:09Z
22,56.89104974637493,60.245015978327764,87.86098462072542,60.80256141638273,29.563892666563092,15.244348799027058,2022-03-02T20:55:07Z,2022-04-09T03:28:39Z
23,55.436996009118374,58.39006318129235,86.82601603558956,51.98332127192391,28.742430490818084,13.931550876354654,2022-06-08T19:15:02Z,2022-07-06T07:39:59Z
