state_code,visit_1,visit_2,visit_4,visit_8,visit_9,visit_10,visit_12,cov_beh_1,cov_beh_2,cov_beh_3,cov_beh_5,event
AK,10,10,10,10,10,10,10,NA,NA,NA,NA,NA
AL,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
AR,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
AZ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
CA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
CO,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
CT,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
DC,5,5,5,5,5,5,5,NA,NA,NA,NA,NA
DE,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
FL,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
GA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
HI,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
IA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
ID,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
IL,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
IN,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
KS,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
KY,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
LA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
MA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
MD,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
ME,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
MI,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
MN,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
MO,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
MS,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
MT,3,3,3,3,3,3,3,NA,NA,NA,NA,NA
NC,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
ND,5,5,5,5,5,5,5,NA,NA,NA,NA,NA
NE,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
NH,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
NJ,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
NM,2,2,2,2,2,2,2,NA,NA,NA,NA,NA
NV,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
NY,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
OH,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
OK,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
OR,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
PA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
RI,4,4,4,4,4,4,4,NA,NA,NA,NA,NA
SC,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
SD,6,6,6,6,6,6,6,NA,NA,NA,NA,NA
TN,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
TX,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
UT,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
VA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
VT,7,7,7,7,7,7,7,NA,NA,NA,NA,NA
WA,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
WI,0,0,0,0,0,0,0,NA,NA,NA,NA,NA
WV,1,1,1,1,1,1,1,NA,NA,NA,NA,NA
WY,10,10,10,10,10,10,10,NA,NA,NA,NA,NA
