Wave,Start_Date,End_Date,wave_lengths
1,04/16/2020,2020-04-30,14
2,05/01/2020,2020-05-21,20
3,05/16/2020,2020-06-01,16
gap3_5,06/02/2020,2020-06-11,9
5,06/12/2020,2020-06-28,16
gap5_7,06/29/2020,2020-07-09,10
7,07/10/2020,2020-07-26,16
gap7_9,07/27/2020,2020-08-06,10
9,08/07/2020,2020-08-26,19
gap9_10,08/27/2020,2020-09-03,7
10,09/04/2020,2020-09-30,26
11,10/02/2020,2020-10-23,21
12,10/23/2020,2020-11-14,22
13,11/03/2020,2020-11-30,27
gap13_14,12/01/2020,2020-12-15,14
14,12/16/2020,2021-01-12,27
gap14_16,01/13/2021,2021-02-04,22
16,02/05/2021,2021-02-28,23
gap16_17,03/01/2021,2021-03-31,30
17,04/01/2021,2021-05-03,32
gap17_18,05/04/2021,2021-06-08,35
18,06/09/2021,2021-07-15,36
gap18_19,07/16/2021,2021-08-25,40
19,08/26/2021,2021-09-28,33
gap19_20,09/29/2021,2021-11-02,34
20,11/03/2021,2021-12-02,29
gap20_21,12/03/2021,2021-12-21,18
21,12/22/2021,2022-01-25,34
gap21_22,01/25/2022,2022-03-01,35
22,03/02/2022,2022-04-09,38
gap22_23,04/10/2022,2022-06-07,58
23,06/08/2022,2022-07-06,28
gap23_24,07/07/2022,2022-08-10,34
24,08/11/2022,2022-09-11,31
gap24_25,09/12/2022,2022-10-05,23
25,10/06/2022,2022-11-09,34
gap25_26,11/10/2022,2022-12-21,41
26,12/22/2022,2023-01-17,26
gap26_27,01/18/2023,2023-04-04,76
27,04/05/2023,2023-05-05,30
