,Wave,Total_N
5610,gap,
5611,gap,
5612,1,21405.0
5613,gap,
5614,2,23814.0
5615,gap,
5616,3,20391.0
5617,gap3_5,
5618,gap,
5619,5,22905.0
5620,gap,
5621,gap5_7,
5622,gap,
5623,7,19437.0
5624,gap,
5625,gap7_9,
5626,gap,
5627,9,21496.0
5628,gap,
5629,gap9_10,
5630,gap,
5631,10,23050.0
5632,gap,
5633,11,19570.0
5634,gap,
5635,12,15127.0
5636,gap,
5637,13,26642.0
5638,gap13_14,
5639,gap,
5640,14,26113.0
5641,gap,
5642,gap,
5643,gap14_16,
5644,gap,
5645,16,23348.0
5646,gap,
5647,gap16_17,
5648,gap,
5649,gap,
5650,17,23718.0
5651,gap,
5652,gap,
5653,gap17_18,
5654,gap,
5655,gap,
5656,18,22275.0
5657,gap,
5658,gap,
5659,gap18_19,
5660,gap,
5661,gap,
5662,19,23938.0
5663,gap,
5664,gap,
5665,gap,
5666,gap19_20,
5667,gap,
5668,gap,
5669,20,24623.0
5670,gap,
5671,gap20_21,
5672,gap,
5673,gap,
5674,21,25358.0
5675,gap,
5676,gap,
5677,gap,
5678,gap21_22,
5679,gap,
5680,gap,
5681,22,23376.0
5682,gap,
5683,gap,
5684,gap,
5685,gap,
5686,gap22_23,
5687,gap,
5688,gap,
5689,23,24625.0
5690,gap,
5691,gap,
5692,gap23_24,
5693,gap,
5694,gap,
5695,24,26557.0
5696,gap,
5697,gap,
5698,gap24_25,
5699,gap,
5700,gap,
5701,25,25964.0
5702,gap,
5703,gap,
5704,gap,
5705,gap25_26,
5706,gap,
5707,gap,
5708,26,24957.0
5709,gap,
5710,gap,
5711,gap,
5712,gap,
5713,gap,
5714,gap26_27,
5715,gap,
5716,gap,
5717,27,24257.0
5718,gap,
5719,gap,
