state,risk_averting,risk_exposing
Alabama,0.5359531595589833,-0.3534905672325932
Alaska,0.10905624433473127,-0.08807155669209017
Arizona,0.457897239275951,-0.37311892454077794
Arkansas,0.3227999784308863,-0.07828277712124458
California,0.4955304756539955,-0.4108572179768219
Colorado,0.20460571209759057,-0.3024796046407223
Connecticut,0.403632495155844,-0.5808864132745349
Delaware,0.2648336652159552,-0.45372920725401
District of Columbia,0.009058743654117005,-0.3188871113414523
Florida,0.4385616295940098,-0.15493173250618805
Georgia,0.3171131853582135,-0.08141526551318969
Hawaii,0.373377930843955,-0.1682512918714254
Idaho,0.278741556698173,-0.14189657502822434
Illinois,0.4254812946011102,-0.6223237087853718
Indiana,0.4390058434463817,-0.37667421534428064
Iowa,0.47093181665322925,-0.41597630361330834
Kansas,0.3630036577086847,-0.3199743996265763
Kentucky,0.19565472119623067,-0.12509839375514234
Louisiana,0.39571428939953174,-0.4022722965848335
Maine,0.27368714275760203,-0.3472805355756545
Maryland,0.3862455832431605,-0.6217471720937621
Massachusetts,0.33945502510346603,-0.6419124968113706
Michigan,0.34601972982229834,-0.5225742571635531
Minnesota,0.46089447851231824,-0.42608525352403603
Mississippi,0.4731371152478025,-0.24092365244050873
Missouri,0.4126974935505608,-0.18118979911811098
Montana,0.16315314583402807,-0.2115141839460628
Nebraska,0.39618867723339724,-0.315128365697507
Nevada,0.41298425972393304,-0.2800196105115988
New Hampshire,0.5364491143261649,-0.20175574589590617
New Jersey,0.2890452428862035,-0.5294214022761077
New Mexico,0.4575218722377183,-0.35461569303820667
New York,0.43474066796221,-0.5832518981571656
North Carolina,0.39049722882058624,-0.28481608082851134
North Dakota,0.6133928076866342,-0.283374277728883
Ohio,0.2424681254375277,-0.21826356243930037
Oklahoma,0.10405458972598466,-0.014306822351324725
Oregon,0.38155425949930954,-0.2005503069242912
Pennsylvania,0.6199403163835503,-0.6752094225529958
Rhode Island,0.5535010359826708,-0.47013786860970846
South Carolina,0.3859958710254639,-0.12345769392553786
South Dakota,0.5128213625990368,-0.13018464645001174
Tennessee,0.31337315610423966,-0.3731929144379302
Texas,0.4656709498733995,-0.11435835802410187
Utah,0.32328677720205884,-0.3031180031843923
Vermont,0.172037026804298,-0.36871445503067884
Virginia,0.1824108985554801,-0.3850057999815271
Washington,0.46947326444132803,-0.4920396586260503
West Virginia,0.24780734878340616,-0.21370965956828017
Wisconsin,0.3798606497291225,-0.4098693035110778
Wyoming,0.19369844280049697,-0.0667870553906431
National,0.6515727128548385,-0.7031314029037882
